Year,Sector,Fuel,ktoe
2000,Services,Peat,4
2001,Services,Peat,4
2002,Services,Peat,3
2003,Services,Peat,1
2004,Services,Peat,0
2005,Services,Peat,0
2006,Services,Peat,0
2007,Services,Peat,0
2008,Services,Peat,0
2009,Services,Peat,0
2010,Services,Peat,0
2011,Services,Peat,0
2012,Services,Peat,0
2013,Services,Peat,0
2014,Services,Peat,0
2015,Services,Peat,0
2016,Services,Peat,0
2017,Services,Peat,0
1990,Agri & Fisheries,Peat,0
1991,Agri & Fisheries,Peat,0
1992,Agri & Fisheries,Peat,0
1993,Agri & Fisheries,Peat,0
1994,Agri & Fisheries,Peat,0
1995,Agri & Fisheries,Peat,0
1996,Agri & Fisheries,Peat,0
1997,Agri & Fisheries,Peat,0
1998,Agri & Fisheries,Peat,0
1999,Agri & Fisheries,Peat,0
2000,Agri & Fisheries,Peat,0
2001,Agri & Fisheries,Peat,0
2002,Agri & Fisheries,Peat,0
2003,Agri & Fisheries,Peat,0
2004,Agri & Fisheries,Peat,0
2005,Agri & Fisheries,Peat,0
2006,Agri & Fisheries,Peat,0
2007,Agri & Fisheries,Peat,0
2008,Agri & Fisheries,Peat,0
2009,Agri & Fisheries,Peat,0
2010,Agri & Fisheries,Peat,0
2011,Agri & Fisheries,Peat,0
2012,Agri & Fisheries,Peat,0
2013,Agri & Fisheries,Peat,0
2014,Agri & Fisheries,Peat,0
2015,Agri & Fisheries,Peat,0
2016,Agri & Fisheries,Peat,0
2017,Agri & Fisheries,Peat,0
1990,Transport,Oil,2017.4141
1991,Transport,Oil,2065.0635
1992,Transport,Oil,2158.1096
1993,Transport,Oil,2298.0435
1994,Transport,Oil,2322.9513
1995,Transport,Oil,2370.2544
1996,Transport,Oil,2653.5741
1997,Transport,Oil,2845.3069
1998,Transport,Oil,3290.5873
1999,Transport,Oil,3665.5121
2000,Transport,Oil,4100.9898
2001,Transport,Oil,4384.4287
2002,Transport,Oil,4497.5185
2003,Transport,Oil,4546.4156
2004,Transport,Oil,4739.7982
2005,Transport,Oil,5076.0677
2006,Transport,Oil,5428.3005
2007,Transport,Oil,5688.6941
2008,Transport,Oil,5383.8671
2009,Transport,Oil,4782.0597
2010,Transport,Oil,4500.7297
2011,Transport,Oil,4320.6794
2012,Transport,Oil,4083.5521
2013,Transport,Oil,4241.9643
2014,Transport,Oil,4402.4703
2015,Transport,Oil,4650.6187
2016,Transport,Oil,4825.0528
2017,Transport,Oil,4881.8192
1990,Residential,Oil,389
1991,Residential,Oil,417
1992,Residential,Oil,399
1993,Residential,Oil,413
1994,Residential,Oil,535
1995,Residential,Oil,647
1996,Residential,Oil,665
1997,Residential,Oil,721
1998,Residential,Oil,785
1999,Residential,Oil,926
2000,Residential,Oil,915
2001,Residential,Oil,"1,011"
2002,Residential,Oil,"1,010"
2003,Residential,Oil,"1,059"
2004,Residential,Oil,"1,094"
2005,Residential,Oil,"1,145"
2006,Residential,Oil,"1,116"
2007,Residential,Oil,"1,101"
2008,Residential,Oil,"1,197"
2009,Residential,Oil,"1,173"
2010,Residential,Oil,"1,263"
2011,Residential,Oil,"1,035"
2012,Residential,Oil,910
2013,Residential,Oil,917
2014,Residential,Oil,857
2015,Residential,Oil,956
2016,Residential,Oil,"1,005"
2017,Residential,Oil,967
1990,Industry,Oil,696
1991,Industry,Oil,712
1992,Industry,Oil,775
1993,Industry,Oil,782
1994,Industry,Oil,984
1995,Industry,Oil,983
1996,Industry,Oil,872
1997,Industry,Oil,998
1998,Industry,Oil,999
1999,Industry,Oil,"1,081"
2000,Industry,Oil,"1,201"
2001,Industry,Oil,"1,171"
2002,Industry,Oil,"1,100"
2003,Industry,Oil,"1,098"
2004,Industry,Oil,"1,098"
2005,Industry,Oil,"1,136"
2006,Industry,Oil,"1,024"
2007,Industry,Oil,"1,007"
2008,Industry,Oil,998
2009,Industry,Oil,765
2010,Industry,Oil,757
2011,Industry,Oil,576
2012,Industry,Oil,514
2013,Industry,Oil,545
2014,Industry,Oil,478
2015,Industry,Oil,464
2016,Industry,Oil,484
2017,Industry,Oil,497
1990,Services,Oil,605
1991,Services,Oil,606
1992,Services,Oil,594
1993,Services,Oil,575
1994,Services,Oil,628
1995,Services,Oil,536
1996,Services,Oil,541
1997,Services,Oil,550
1998,Services,Oil,520
1999,Services,Oil,551
2000,Services,Oil,526
2001,Services,Oil,527
2002,Services,Oil,529
2003,Services,Oil,508
2004,Services,Oil,461
2005,Services,Oil,511
2006,Services,Oil,461
2007,Services,Oil,452
2008,Services,Oil,500
2009,Services,Oil,408
2010,Services,Oil,391
2011,Services,Oil,382
2012,Services,Oil,355
2013,Services,Oil,298
2014,Services,Oil,245
2015,Services,Oil,237
2016,Services,Oil,239
2017,Services,Oil,257
1990,Agri & Fisheries,Oil,243
1991,Agri & Fisheries,Oil,254
1992,Agri & Fisheries,Oil,259
1993,Agri & Fisheries,Oil,264
1994,Agri & Fisheries,Oil,297
1995,Agri & Fisheries,Oil,348
1996,Agri & Fisheries,Oil,283
1997,Agri & Fisheries,Oil,286
1998,Agri & Fisheries,Oil,288
1999,Agri & Fisheries,Oil,296
2000,Agri & Fisheries,Oil,304
2001,Agri & Fisheries,Oil,308
2002,Agri & Fisheries,Oil,304
2003,Agri & Fisheries,Oil,319
2004,Agri & Fisheries,Oil,314
2005,Agri & Fisheries,Oil,328
2006,Agri & Fisheries,Oil,311
2007,Agri & Fisheries,Oil,295
2008,Agri & Fisheries,Oil,310
2009,Agri & Fisheries,Oil,266
2010,Agri & Fisheries,Oil,246
2011,Agri & Fisheries,Oil,233
2012,Agri & Fisheries,Oil,225
2013,Agri & Fisheries,Oil,201
2014,Agri & Fisheries,Oil,181
2015,Agri & Fisheries,Oil,173
2016,Agri & Fisheries,Oil,179
2017,Agri & Fisheries,Oil,188
1990,Transport,NatGas,0
1991,Transport,NatGas,0
1992,Transport,NatGas,0
1993,Transport,NatGas,0
1994,Transport,NatGas,0
1995,Transport,NatGas,0
1996,Transport,NatGas,0
1997,Transport,NatGas,0
1998,Transport,NatGas,0
1999,Transport,NatGas,0
2000,Transport,NatGas,0
2001,Transport,NatGas,0
2002,Transport,NatGas,0
2003,Transport,NatGas,0
2004,Transport,NatGas,0
2005,Transport,NatGas,2.2
2006,Transport,NatGas,1.85
2007,Transport,NatGas,1.34
