Year,Sector,Fuel,ktoe
2007,Industry,Elec,729
2008,Industry,Elec,686
2009,Industry,Elec,740
2010,Industry,Elec,783
2011,Industry,Elec,816
2012,Industry,Elec,788
2013,Industry,Elec,799
2014,Industry,Elec,808
2015,Industry,Elec,847
2016,Industry,Elec,872
2017,Industry,Elec,882
1990,Services,Elec,240
1991,Services,Elec,260
1992,Services,Elec,279
1993,Services,Elec,285
1994,Services,Elec,296
1995,Services,Elec,310
1996,Services,Elec,336
1997,Services,Elec,362
1998,Services,Elec,387
1999,Services,Elec,431
2000,Services,Elec,481
2001,Services,Elec,508
2002,Services,Elec,580
2003,Services,Elec,702
2004,Services,Elec,702
2005,Services,Elec,728
2006,Services,Elec,699
2007,Services,Elec,749
2008,Services,Elec,822
2009,Services,Elec,683
2010,Services,Elec,616
2011,Services,Elec,559
2012,Services,Elec,540
2013,Services,Elec,547
2014,Services,Elec,554
2015,Services,Elec,580
2016,Services,Elec,598
2017,Services,Elec,604
1990,Agri & Fisheries,Elec,37
1991,Agri & Fisheries,Elec,38
1992,Agri & Fisheries,Elec,40
1993,Agri & Fisheries,Elec,41
1994,Agri & Fisheries,Elec,42
1995,Agri & Fisheries,Elec,43
1996,Agri & Fisheries,Elec,45
1997,Agri & Fisheries,Elec,47
1998,Agri & Fisheries,Elec,50
1999,Agri & Fisheries,Elec,46
2000,Agri & Fisheries,Elec,49
2001,Agri & Fisheries,Elec,52
2002,Agri & Fisheries,Elec,52
2003,Agri & Fisheries,Elec,52
2004,Agri & Fisheries,Elec,52
2005,Agri & Fisheries,Elec,55
2006,Agri & Fisheries,Elec,53
2007,Agri & Fisheries,Elec,48
2008,Agri & Fisheries,Elec,48
2009,Agri & Fisheries,Elec,48
2010,Agri & Fisheries,Elec,48
2011,Agri & Fisheries,Elec,48
2012,Agri & Fisheries,Elec,48
2013,Agri & Fisheries,Elec,48
2014,Agri & Fisheries,Elec,48
2015,Agri & Fisheries,Elec,48
2016,Agri & Fisheries,Elec,48
2017,Agri & Fisheries,Elec,48
